name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
RAAF Base Pearce,Perth,,-31.667800903320312,116.01499938964844,45.0,WA,8456662.0
Bendigo Airport,Bendigo,BXG,-36.7393989563,144.330001831,215.0,,20383.0
Toowoomba Airport,Toowoomba,TWB,-27.542801,151.916,636.0,,
Ballera Airport,Ballera,BBL,-27.405633,141.809458,117.0,,
Gatton Campus Airport,Gatton,,-27.5604060653,152.340459824,0.0,,
Barrow Island Airport,Barrow Island,BWB,-20.86440086364746,115.40599822998048,8.0,,
Derby Airport,Derby,DRB,-17.3700008392334,123.66100311279295,7.0,,
Walgett Airport,Walgett,WGE,-30.032800674438477,148.12600708007812,134.0,,
Bathurst Island Airport,Bathurst Island,BRT,-11.769200325012209,130.6199951171875,20.0,,15740.0
Dunk Island Airport,Dunk Island,DKI,-17.9416999817,146.13999939,2.0,,
Lizard Island Airport,Lizard Island,LZR,-14.673273,145.454571,21.0,,
Hamilton Airport,Hamilton,HLT,-37.64889907836914,142.06500244140625,245.0,,
Halls Creek Airport,Halls Creek,HCQ,-18.23390007019043,127.66999816894533,410.0,,
Fitzroy Crossing Airport,Fitzroy Crossing,FIZ,-18.181900024414062,125.55899810791016,112.0,,
Ravensthorpe Airport,Ravensthorpe,RVT,-33.7971992493,120.208000183,60.0,,
Geelong Airport,Geelong,GEX,-38.224998474121094,144.33299255371094,13.0,,
Penneshaw Airport,Penneshaw,PEA,-35.7558462874,137.962875366,0.0,,
Redcliffe Airport,Rothwell,,-27.20669937133789,153.0679931640625,1.0,,
Phillip Island Airport,Phillip Island,,-38.52330017089844,145.32699584960938,4.0,,
Cooinda Airport,Cooinda,CDA,-12.903300285339355,132.53199768066406,4.0,,
Jabiru Airport,Jabiru,JAB,-12.658300399780272,132.89300537109375,26.0,,
Telfer Airport,Telfer,TEF,-21.71500015258789,122.22899627685548,296.0,,
Renmark Airport,Renmark,RMK,-34.1963996887207,140.6739959716797,35.0,,
Leigh Creek Airport,Leigh Creek,LGH,-30.59830093383789,138.42599487304688,261.0,,
Warburton Airport,Warburton Community,,-26.12829971313477,126.58300018310548,457.0,,
Cunderdin Airport,Cunderdin,,-31.62220001220703,117.21700286865234,215.0,,
Rottnest Island Airport,Rottnest Island,RTS,-32.006699,115.540001,4.0,,
Forrest Airport,Forrest,FOS,-30.83810043334961,128.11500549316406,156.0,,
Ballarat Airport,Ballarat,,-37.51169967651367,143.79100036621094,437.0,,
Mallacoota Airport,Mallacoota,XMC,-37.59830093383789,149.72000122070312,9.0,,
Yuendumu Airport,Yuendumu ,YUE,-22.254199981689453,131.78199768066406,672.0,,
Yarram Airport,Yarram,,-38.56669998168945,146.7550048828125,5.0,,
Yalata Mission Airport,Yalata,KYI,-31.470600128173828,131.8249969482422,0.0,,
Wyndham Airport,Wyndham,WYN,-15.51140022277832,128.1529998779297,4.0,,
Beverley Airport,Mine Site,,-30.18670082092285,139.55799865722656,35.0,,
Great Keppel Is Airport,Great Keppel Island,GKL,-23.1833000183,150.942001343,6.0,,
Roper Bar Airport,Roper Bar,RPB,-14.734814,134.525485,28.0,,
Mount Garnet Airport,Mount Garnet,,-17.700000762939453,145.14999389648438,200.0,,
Innisfail Airport,Innisfail,IFL,-17.55940055847168,146.01199340820312,14.0,,
Moomba Airport,Moomba,MOO,-28.09939956665039,140.19700622558594,44.0,,
Onslow Airport,Onslow,ONS,-21.668300628662,115.1129989624,2.0,,
Theodore Airport,Theodore,TDR,-24.99329948425293,150.09300231933594,52.0,,
Chinchilla Airport,Chinchilla,CCL,-26.774999618530273,150.61700439453125,313.0,,
Shute Harbour Airport,Shute Harbour,JHQ,-20.277221,148.755556,4.0,,
Shepparton Airport,Shepparton,SHT,-36.42890167236328,145.39300537109375,114.0,,
Temora Airport,Temora,TEM,-34.4213981628418,147.51199340820312,281.0,,
Gayndah Airport,Gayndah,GAH,-25.61440086364746,151.61900329589844,112.0,,
Wilcannia Airport,Wilcannia,WIO,-31.52639961242676,143.375,76.0,,
Ivanhoe Airport,Ivanhoe,,-32.88330078125,144.30999755859375,101.0,,
Menindee Airport,Menindee,,-32.36669921875,142.40499877929688,0.0,,
Pooncarie Airport,Pooncarie,,-33.36669921875,142.58799743652344,15.0,,
Tilpa Airport,Tilpa,,-30.933300018310547,144.41700744628906,0.0,,
Lake Macquarie Airport,Lake Macquarie,BEO,-33.0667,151.647995,1.0,,
Brampton Island Airport,Brampton Island,BMP,-20.803300857543945,149.27000427246094,3.0,,
Busselton Regional Airport,Brusselton,BQB,-33.6884231567,115.401596069,17.0,,
Inverell Airport,Inverell,IVR,-29.888299942,151.143997192,813.0,,
Glen Innes Airport,Glen Innes,GLI,-29.674999237060547,151.68899536132812,1046.0,,
Fortescue - Dave Forrest Aerodrome,Cloudbreak,KFE,-22.290754,119.437143,474.0,,
Solomon Airport,Solomon,SLJ,-22.2554,117.7627,619.0,,
Coonabarabran Airport,Coonabarabran,COJ,-31.332500457763672,149.26699829101562,645.0,,
Warnervale Airport,Warnervale Airport,,-33.240278,151.429722,8.0,,
Bairnsdale Airport,Bairnsdale,BSJ,-37.88750076293945,147.5679931640625,50.0,,
Prominent Hill Airport,Prominent Hill,PXH,-29.716,135.5244,227.0,,
Cowra Airport,Chatsworth,CWT,-33.84469985961914,148.6490020751953,294.0,,
Coral Bay Airport,Coral Bay,,-23.1299991607666,113.7770004272461,2.0,,
Lilydale Airport,Lilydale,,-37.69169998168945,145.36700439453125,23.0,,
Toowoomba Wellcamp Airport,Toowoomba,WTB,-27.558332,151.793335,460.0,,
Clermont Airport,Clermont,CMQ,-22.773099899291992,147.62100219726562,277.0,,
Warrnambool Airport,Warrnambool,WMB,-38.2952995300293,142.44700622558594,74.0,,
Richmond Airport,Richmond,RCM,-20.701900482177734,143.11500549316406,206.0,,
RAAF Base Curtin,Derby,DCN,-17.5813999176,123.82800293,91.0,,
Bunbury Airport,Bunbury,BUY,-33.378299713134766,115.677001953125,16.0,,
Atherton Airport,Atherton,,-17.2616996765,145.51499939,747.0,,
Kadina Airport,Kadina,,-33.97669982910156,137.66000366210938,13.0,,
Coondewanna Airport,Coondewanna,CJF,-22.96669960022,118.81300354004,701.0,,
Borroloola Airport,Borroloola,BOX,-16.075300216674805,136.302001953125,17.0,,
Port Keats Airport,Wadeye,PKT,-14.25,129.5290069580078,28.0,,
Garden Point Airport,Pirlangimpi,GPN,-11.40250015258789,130.4219970703125,27.0,,
Flinders Island Airport,Elliston,,-33.730989,134.501,0.0,,
Murray Bridge Airport,Murray Bridge,,-35.06669998168945,139.2270050048828,17.0,,
Horsham Airport,Horsham,HSM,-36.669700622558594,142.17300415039062,136.0,,
Swan Hill Airport,Swan Hill,SWH,-35.37580108642578,143.5330047607422,71.0,,
Dulkaninna Airport,Dulkaninna,DLK,-29.0132999420166,138.4810028076172,0.0,,
William Creek Airport,William Creek,,-28.906700134277344,136.3419952392578,28.0,,
Taroom Airport,Taroom,XTO,-25.801700592041016,149.89999389648438,73.0,,
Alpha Airport,Alpha,ABH,-23.646099,146.584,383.0,,
Ararat Airport,,ARY,-37.30939865112305,142.98899841308594,307.0,,
Benalla Airport,,BLN,-36.55189895629883,146.0070037841797,173.0,,
Balranald Airport,,BZD,-34.623600006103516,143.5780029296875,64.0,,
Brewarrina Airport,,BWQ,-29.973899841308594,146.81700134277344,126.0,,
Cleve Airport,,CVC,-33.70970153808594,136.5050048828125,180.0,,
Corowa Airport,,CWW,-35.99470138549805,146.35699462890625,143.0,,
Corryong Airport,,CYG,-36.18280029296875,147.88800048828125,294.0,,
Cootamundra Airport,,CMD,-34.6239013671875,148.0279998779297,338.0,,
Dirranbandi Airport,,DRN,-28.591699600219727,148.2169952392578,173.0,,
Deniliquin Airport,Deniliquin,DNQ,-35.5593986511,144.945999146,96.0,,
Dysart Airport,,DYA,-22.62220001220703,148.36399841308594,204.0,,
Echuca Airport,,ECH,-36.15719985961914,144.76199340820312,98.0,,
Forbes Airport,Forbes,FRB,-33.363602,147.934998,232.0,,
Gunnedah Airport,,GUH,-30.96109962463379,150.25100708007812,263.0,,
Hay Airport,,HXX,-34.53139877319336,144.8300018310547,93.0,,
Hopetoun Airport,,HTU,-35.715301513671875,142.36000061035156,78.0,,
Kerang Airport,,KRA,-35.751399993896484,143.93899536132812,77.0,,
Kempsey Airport,,KPS,-31.074399948120117,152.77000427246094,16.0,,
Kingaroy Airport,,KGY,-26.580799102783203,151.84100341796875,455.0,,
Latrobe Valley Airport,Morwell,TGN,-38.207199,146.470001,55.0,,
Mareeba Airport,,MRG,-17.06920051574707,145.41900634765625,475.0,,
Ngukurr Airport,,RPM,-14.722800254821776,134.7469940185547,14.0,,
Narromine Airport,,QRM,-32.214698791503906,148.22500610351562,238.0,,
Port Pirie Airport,,PPI,-33.23889923095703,137.9949951171875,12.0,,
Smithton Airport,,SIO,-40.834999084472656,145.08399963378906,9.0,,
Snake Bay Airport,,SNB,-11.422800064086914,130.6540069580078,53.0,,
Stawell Airport,,SWC,-37.07170104980469,142.74099731445312,246.0,,
Tibooburra Airport,,TYB,-29.451099395751953,142.05799865722656,178.0,,
Tumut Airport,,TUM,-35.26279830932617,148.24099731445312,268.0,,
Wangaratta Airport,,WGT,-36.41579818725586,146.3070068359375,154.0,,
Warracknabeal Airport,,WKB,-36.32109832763672,142.41900634765625,121.0,,
Warren Airport,,QRR,-31.733299255371097,147.80299377441406,204.0,,
West Sale Airport,Sale,SXE,-38.090827,146.965335,22.0,,
West Wyalong Airport,West Wyalong,WWY,-33.9371986389,147.190994263,262.0,,
Young Airport,,NGA,-34.25559997558594,148.2480010986328,386.0,,
Hermannsburg Airport,Hermannsburg,HMG,-23.93000030517578,132.80499267578125,181.0,,
Mount Davies Airport,Pipalyatjara,,-26.16670036315918,129.13299560546875,0.0,,
Areyonga Airport,Areyonga,,-24.066699981689453,132.26699829101562,0.0,,
Mount Allan Airport,Yuelamu,,-22.274999618530273,132.2169952392578,0.0,,
Everard Park Airport,Mimili,,-27.016700744628903,132.7169952392578,0.0,,
